context_3,context_2,context_1,response
,,,в этом году финал будет оффлайн?
,,в этом году финал будет оффлайн?,да((((
,в этом году финал будет оффлайн?,да((((,в прошлом году ты очень хотел его очным)))
в этом году финал будет оффлайн?,да((((,в прошлом году ты очень хотел его очным))),я повзрослел
,,,если финал очным будет - я до финала бриться не буду
,,если финал очным будет - я до финала бриться не буду,чисто видом будешь конкурентов убирать?
,если финал очным будет - я до финала бриться не буду,чисто видом будешь конкурентов убирать?,да
,,,хотя я все таки надеюсь на онлайн
,,хотя я все таки надеюсь на онлайн,"Не знаю, почему все хотят онлайн финал
Он проходил обычно в хорошколе
Там кормят вкусно
Чисто ради этого на финал прошёл"
,хотя я все таки надеюсь на онлайн,"Не знаю, почему все хотят онлайн финал
Он проходил обычно в хорошколе
Там кормят вкусно
Чисто ради этого на финал прошёл",В прошлом году дистанционно было
,,,В позапрошлом?
,,В позапрошлом?,"Да, там тоже был дистант"
,В позапрошлом?,"Да, там тоже был дистант",понял
,,,21
,,,Там все строго
,,Там все строго,Мы выходили один раз в магазин по просьбе желающих вместе с «вожатыми»
,,,"Да, самый первый"
,,,Номера в отеле были хорошие
,,Номера в отеле были хорошие,расселяют по командам же?
,Номера в отеле были хорошие,расселяют по командам же?,"Нет, но ты можешь попросить переселиться к напарнику"
,,,"Я жил вообще с левым челом, но на ночь уходил к своей команде
Не могу утверждать, как будет в этом году. Сейчас рассказываю про финал 19/20 года
Вот это не знаю
У нас даже дошики забирали
Тип запрещено"
,,,Мы в последнюю ночь еле уломали «вожатых» заказать пиццу
,,Мы в последнюю ночь еле уломали «вожатых» заказать пиццу,всм
,,,"Я не знаю, как по-другому называть людей, которые за нами там следили"
,,"Я не знаю, как по-другому называть людей, которые за нами там следили",Надзиратель
,,,Надеюсь
,,Надеюсь,"смотрящие))
как в тюрьме"
,Надеюсь,"смотрящие))
как в тюрьме","Какой-то отель
Названия не помню
СПб"
Надеюсь,"смотрящие))
как в тюрьме","Какой-то отель
Названия не помню
СПб",ахахха
"смотрящие))
как в тюрьме","Какой-то отель
Названия не помню
СПб",ахахха,"Там нам купили билеты, мы все встретились на вокзале с одним сопровождающим и поехали у Москву
Потом трансфер до отеля"
,,,Какой-то чел
,,Какой-то чел,Там один сопровождающий на всю команду из города
,,,Этого сказать не могу
,,Этого сказать не могу,"не было такого
мы в последнюю ночь пытались сбежать"
,Этого сказать не могу,"не было такого
мы в последнюю ночь пытались сбежать","Ну не знаю как у вас, мы собрались и ели пиццу"
Этого сказать не могу,"не было такого
мы в последнюю ночь пытались сбежать","Ну не знаю как у вас, мы собрались и ели пиццу","нас поймали на выходе
с куртками
да
ну типо если есть 18, то отпускают спокойно
если нет, то не отпускают"
,,,Или доверенность на восемнадцатилетнего
,,Или доверенность на восемнадцатилетнего,"Ну или просто со ""взрослым"""
,,,Я спрашиваю))
,,,а вы когда на финале гулять собрались?)
,,а вы когда на финале гулять собрались?),Реально
,,,2 года подряд просто было только награждение очно
,,,предлагаю в бар
,,предлагаю в бар,Если было бы в СПб – Я бы показал пару крутых мест)
,предлагаю в бар,Если было бы в СПб – Я бы показал пару крутых мест),в спб любое место подходит
предлагаю в бар,Если было бы в СПб – Я бы показал пару крутых мест),в спб любое место подходит,Не. Поверь. Местами полная фигня
,,,"сходить
варианты есть"
,,"сходить
варианты есть",Ура. Есть хорошие места на заметке?
,"сходить
варианты есть",Ура. Есть хорошие места на заметке?,ага)
,,,все равно лучше в качалку
,,все равно лучше в качалку,кстати
,,,"не такую
только не с артемом"
,,"не такую
только не с артемом",Аххахаххаха
,"не такую
только не с артемом",Аххахаххаха,"в отеле, котором были
в прошлом году
была качалка
мы туда постоянно гоняли"
"не такую
только не с артемом",Аххахаххаха,"в отеле, котором были
в прошлом году
была качалка
мы туда постоянно гоняли","да, радмир кидал видос"
Аххахаххаха,"в отеле, котором были
в прошлом году
была качалка
мы туда постоянно гоняли","да, радмир кидал видос",потом для нас это не очень хорошо закончилось
"в отеле, котором были
в прошлом году
была качалка
мы туда постоянно гоняли","да, радмир кидал видос",потом для нас это не очень хорошо закончилось,"поч
в качалку типо нельзя?"
"да, радмир кидал видос",потом для нас это не очень хорошо закончилось,"поч
в качалку типо нельзя?",да
,,,Есть ли дедлайн на объединение  в команды?
,,Есть ли дедлайн на объединение  в команды?,"Кстати да, как там и что вообще"
,Есть ли дедлайн на объединение  в команды?,"Кстати да, как там и что вообще","Официально будем фиксировать по факту на финале. Но готовы помогать объединяться уже сейчас, если вам нужна помощь 🙌🏻"
Есть ли дедлайн на объединение  в команды?,"Кстати да, как там и что вообще","Официально будем фиксировать по факту на финале. Но готовы помогать объединяться уже сейчас, если вам нужна помощь 🙌🏻","Это будет не рандом, можно будет выбрать?"
"Кстати да, как там и что вообще","Официально будем фиксировать по факту на финале. Но готовы помогать объединяться уже сейчас, если вам нужна помощь 🙌🏻","Это будет не рандом, можно будет выбрать?","В первую очередь опираемся на ваши пожелания, рандом будет только, если вы скажете, что вам все равно с кем объединяться"
,,,"По одному?)
Организаторы просили это не делать, ну да ладно"
,,"По одному?)
Организаторы просили это не делать, ну да ладно","Лол
Лол
Чел"
,,,Это заявочка на дисквал
,,Это заявочка на дисквал,"Согласен, дисквалифицируйте"
,,,здороу
,,здороу,"выбирай сейчас
пока варианты есть
а то будет рандом"
,здороу,"выбирай сейчас
пока варианты есть
а то будет рандом",А какие доки нужны для заселения и т.п.?
здороу,"выбирай сейчас
пока варианты есть
а то будет рандом",А какие доки нужны для заселения и т.п.?,"Здравствуйте. У всех организацию и оплату проезда ""навесили"" на школу? Или наш регион отличился?"
"выбирай сейчас
пока варианты есть
а то будет рандом",А какие доки нужны для заселения и т.п.?,"Здравствуйте. У всех организацию и оплату проезда ""навесили"" на школу? Или наш регион отличился?","Отличился
У нас на Сириус"
А какие доки нужны для заселения и т.п.?,"Здравствуйте. У всех организацию и оплату проезда ""навесили"" на школу? Или наш регион отличился?","Отличился
У нас на Сириус",Башкортостан
,,,"Господа, кому то ещё разделяло команду?"
,,"Господа, кому то ещё разделяло команду?",+
,,,"Товарищ, а ты участвовал во 2 этапе в составе команды?"
,,"Товарищ, а ты участвовал во 2 этапе в составе команды?",Да
,,,"Нас было двое, после окончания принятия работ на распилили на две части"
,,"Нас было двое, после окончания принятия работ на распилили на две части",Вам что поддержка говорила?
,,,"""Команда нейм"" ""Команда нейм-1"""
,,"""Команда нейм"" ""Команда нейм-1""","Нас тоже разделило, но мы думали это как бы команда и участник один, участник два, разве нет?"
,,,"мы с сокомандником сами разделились за несколько часов до конца 2 этапа, только он в финал не прошел потом 😕"
,,,Организаторы сами просили создать команду только из одного человека
,,Организаторы сами просили создать команду только из одного человека,А как в финале объединяться будем?
,Организаторы сами просили создать команду только из одного человека,А как в финале объединяться будем?,"Сначала объединяют тех, кто нашел себе команду, потом оставшихся раскидывают рандомно"
,,,Кому-нибудь писали по поводу трансфера?
,,Кому-нибудь писали по поводу трансфера?,Сегодня письма разослали с формой
,Кому-нибудь писали по поводу трансфера?,Сегодня письма разослали с формой,у меня у одного не пришло?
,,,no
,,no,Будут сейчас трансфер подготавливать
,,,Кому разослали?
,,Кому разослали?,+)
,Кому разослали?,+),Какой регион?
Кому разослали?,+),Какой регион?,Спб 🦫
